scope_id,patch,rank,source_name,champion,best_pool,best_pool_score,best_pool_member,top_pool_share,best_rank,focus_pair_exclusion_drop,candidate_count,summary_path,matchup_path
opgg_diamond_plus_16.01,16.01,diamond_plus,opgg_local_extract,Pantheon,"Fizz, Pantheon, Veigar",0.5352970901273939,True,0.9,1.0,0.001138851469725921,49,..\data\opgg_mid_champion_summary__diamond_plus__16.10.csv,..\data\opgg_mid_matchups__diamond_plus__16.10.csv
opgg_diamond_plus_16.01,16.01,diamond_plus,opgg_local_extract,Sion,"Fizz, Pantheon, Veigar",0.5352970901273939,False,0.0,,0.001138851469725921,49,..\data\opgg_mid_champion_summary__diamond_plus__16.10.csv,..\data\opgg_mid_matchups__diamond_plus__16.10.csv
opgg_emerald_plus_16.01,16.01,emerald_plus,opgg_local_extract,Pantheon,"Katarina, Pantheon, Sion",0.5347099995768657,True,0.3,1.0,0.0016729253591155624,49,..\data\opgg_mid_champion_summary__emerald_plus__16.10.csv,..\data\opgg_mid_matchups__emerald_plus__16.10.csv
opgg_emerald_plus_16.01,16.01,emerald_plus,opgg_local_extract,Sion,"Katarina, Pantheon, Sion",0.5347099995768657,True,1.0,1.0,0.0016729253591155624,49,..\data\opgg_mid_champion_summary__emerald_plus__16.10.csv,..\data\opgg_mid_matchups__emerald_plus__16.10.csv
opgg_master_plus_16.01,16.01,master_plus,opgg_local_extract,Pantheon,"Fizz, Pantheon, Twisted Fate",0.5367025566434583,True,0.3,1.0,0.001554151012576166,50,..\data\opgg_mid_champion_summary__master_plus__16.10.csv,..\data\opgg_mid_matchups__master_plus__16.10.csv
opgg_master_plus_16.01,16.01,master_plus,opgg_local_extract,Sion,"Fizz, Pantheon, Twisted Fate",0.5367025566434583,False,0.0,,0.001554151012576166,50,..\data\opgg_mid_champion_summary__master_plus__16.10.csv,..\data\opgg_mid_matchups__master_plus__16.10.csv
opgg_plat_plus_16.01,16.01,plat_plus,opgg_local_extract,Pantheon,"Naafiri, Sion, Xerath",0.5400176598998011,False,0.1,4.0,0.00375406107211107,49,..\data\opgg_mid_champion_summary__plat_plus__16.10.csv,..\data\opgg_mid_matchups__plat_plus__16.10.csv
opgg_plat_plus_16.01,16.01,plat_plus,opgg_local_extract,Sion,"Naafiri, Sion, Xerath",0.5400176598998011,True,1.0,1.0,0.00375406107211107,49,..\data\opgg_mid_champion_summary__plat_plus__16.10.csv,..\data\opgg_mid_matchups__plat_plus__16.10.csv
opgg_plat_plus_16.05,16.05,plat_plus,opgg_patch_folder,Pantheon,"Sion, Vex, Xerath",0.5406507907172774,False,0.0,,0.0010934608943268254,52,C:\Users\gosee\Documents\codex\lol_pool_optimizer\data\16.05\opgg_mid_champion_summary.csv,C:\Users\gosee\Documents\codex\lol_pool_optimizer\data\16.05\opgg_mid_matchups_clean.csv
opgg_plat_plus_16.05,16.05,plat_plus,opgg_patch_folder,Sion,"Sion, Vex, Xerath",0.5406507907172774,True,0.8,1.0,0.0010934608943268254,52,C:\Users\gosee\Documents\codex\lol_pool_optimizer\data\16.05\opgg_mid_champion_summary.csv,C:\Users\gosee\Documents\codex\lol_pool_optimizer\data\16.05\opgg_mid_matchups_clean.csv
opgg_plat_plus_16.06,16.06,plat_plus,opgg_patch_folder,Pantheon,"Nasus, Sion, Xerath",0.5401076969293834,False,0.1,9.0,0.002644969463230895,52,C:\Users\gosee\Documents\codex\lol_pool_optimizer\data\16.06\opgg_mid_champion_summary.csv,C:\Users\gosee\Documents\codex\lol_pool_optimizer\data\16.06\opgg_mid_matchups_clean.csv
opgg_plat_plus_16.06,16.06,plat_plus,opgg_patch_folder,Sion,"Nasus, Sion, Xerath",0.5401076969293834,True,1.0,1.0,0.002644969463230895,52,C:\Users\gosee\Documents\codex\lol_pool_optimizer\data\16.06\opgg_mid_champion_summary.csv,C:\Users\gosee\Documents\codex\lol_pool_optimizer\data\16.06\opgg_mid_matchups_clean.csv
opgg_emerald_plus_16.07,16.07,emerald_plus,opgg_local_extract,Pantheon,"Ekko, Pantheon, Sion",0.5377908734492037,True,0.4,1.0,0.0035065080911949043,52,..\data\opgg_mid_champion_summary.csv,..\data\opgg_mid_matchups.csv
opgg_emerald_plus_16.07,16.07,emerald_plus,opgg_local_extract,Sion,"Ekko, Pantheon, Sion",0.5377908734492037,True,1.0,1.0,0.0035065080911949043,52,..\data\opgg_mid_champion_summary.csv,..\data\opgg_mid_matchups.csv
opgg_plat_plus_16.07,16.07,plat_plus,opgg_patch_folder,Pantheon,"Pantheon, Sion, Xerath",0.5423093552212241,True,0.7,1.0,0.007107689342497503,52,C:\Users\gosee\Documents\codex\lol_pool_optimizer\data\16.07\opgg_mid_champion_summary.csv,C:\Users\gosee\Documents\codex\lol_pool_optimizer\data\16.07\opgg_mid_matchups_clean.csv
opgg_plat_plus_16.07,16.07,plat_plus,opgg_patch_folder,Sion,"Pantheon, Sion, Xerath",0.5423093552212241,True,1.0,1.0,0.007107689342497503,52,C:\Users\gosee\Documents\codex\lol_pool_optimizer\data\16.07\opgg_mid_champion_summary.csv,C:\Users\gosee\Documents\codex\lol_pool_optimizer\data\16.07\opgg_mid_matchups_clean.csv
opgg_diamond_plus_16.11,16.11,diamond_plus,opgg_local_extract,Pantheon,"Diana, Pantheon, Talon",0.533654077379775,True,1.0,1.0,0.002228772014368663,50,..\data\opgg_mid_champion_summary__diamond_plus__16.11.csv,..\data\opgg_mid_matchups__diamond_plus__16.11.csv
opgg_diamond_plus_16.11,16.11,diamond_plus,opgg_local_extract,Sion,"Diana, Pantheon, Talon",0.533654077379775,False,0.0,,0.002228772014368663,50,..\data\opgg_mid_champion_summary__diamond_plus__16.11.csv,..\data\opgg_mid_matchups__diamond_plus__16.11.csv
opgg_emerald_plus_16.11,16.11,emerald_plus,opgg_local_extract,Pantheon,"Fizz, Sion, Vex",0.5350471979480845,False,0.1,5.0,0.0017468666584369297,50,..\data\opgg_mid_champion_summary__emerald_plus__16.11.csv,..\data\opgg_mid_matchups__emerald_plus__16.11.csv
opgg_emerald_plus_16.11,16.11,emerald_plus,opgg_local_extract,Sion,"Fizz, Sion, Vex",0.5350471979480845,True,1.0,1.0,0.0017468666584369297,50,..\data\opgg_mid_champion_summary__emerald_plus__16.11.csv,..\data\opgg_mid_matchups__emerald_plus__16.11.csv
opgg_master_plus_16.11,16.11,master_plus,opgg_local_extract,Pantheon,"Katarina, Talon, Vex",0.5359869029806493,False,0.0,,0.0,51,..\data\opgg_mid_champion_summary__master_plus__16.11.csv,..\data\opgg_mid_matchups__master_plus__16.11.csv
opgg_master_plus_16.11,16.11,master_plus,opgg_local_extract,Sion,"Katarina, Talon, Vex",0.5359869029806493,False,0.0,,0.0,51,..\data\opgg_mid_champion_summary__master_plus__16.11.csv,..\data\opgg_mid_matchups__master_plus__16.11.csv
opgg_plat_plus_16.11,16.11,plat_plus,opgg_local_extract,Pantheon,"Fizz, Sion, Vex",0.537893898266246,False,0.1,9.0,0.002604624567757008,51,..\data\opgg_mid_champion_summary__plat_plus__16.11.csv,..\data\opgg_mid_matchups__plat_plus__16.11.csv
opgg_plat_plus_16.11,16.11,plat_plus,opgg_local_extract,Sion,"Fizz, Sion, Vex",0.537893898266246,True,1.0,1.0,0.002604624567757008,51,..\data\opgg_mid_champion_summary__plat_plus__16.11.csv,..\data\opgg_mid_matchups__plat_plus__16.11.csv
