scope_id,patch,rank_scope,rank_scope_type,scenario,excluded_champions,baseline_best_pool,baseline_best_score,best_pool_after_exclusion,best_score_after_exclusion,score_loss,relative_score_loss,sion_top_100_inclusion_frequency,pantheon_top_100_inclusion_frequency,search_method
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,exclude_sion,Sion,"Sion, Vex, Xerath",0.5406507610017671,"Swain, Vex, Xerath",0.5363768182394327,0.004273942762334393,0.007905182181590278,0.89,0.05,exact_brute_force
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,exclude_pantheon,Pantheon,"Sion, Vex, Xerath",0.5406507610017671,"Sion, Vex, Xerath",0.5406507610017671,0.0,0.0,0.89,0.05,exact_brute_force
16.05__plat_plus__cumulative,16.05,plat_plus,cumulative,exclude_sion_and_pantheon,"Sion, Pantheon","Sion, Vex, Xerath",0.5406507610017671,"Swain, Vex, Xerath",0.5363768182394327,0.004273942762334393,0.007905182181590278,0.89,0.05,exact_brute_force
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,exclude_sion,Sion,"Sion, Swain, Xerath",0.5397329152746632,"Naafiri, Pantheon, Xerath",0.535195590824148,0.0045373244505151344,0.008406610607037275,1.0,0.11,exact_brute_force
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,exclude_pantheon,Pantheon,"Sion, Swain, Xerath",0.5397329152746632,"Sion, Swain, Xerath",0.5397329152746632,0.0,0.0,1.0,0.11,exact_brute_force
16.06__plat_plus__cumulative,16.06,plat_plus,cumulative,exclude_sion_and_pantheon,"Sion, Pantheon","Sion, Swain, Xerath",0.5397329152746632,"Swain, Vex, Xerath",0.5344470812305049,0.005285834044158277,0.009793425404615882,1.0,0.11,exact_brute_force
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,exclude_sion,Sion,"Pantheon, Sion, Xerath",0.542309355221224,"Aurelion Sol, Naafiri, Pantheon",0.536174104655224,0.006135250566000061,0.011313193303658408,1.0,0.3,exact_brute_force
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,exclude_pantheon,Pantheon,"Pantheon, Sion, Xerath",0.542309355221224,"Aurelion Sol, Sion, Vex",0.5399512924659039,0.002358062755320134,0.004348187492281431,1.0,0.3,exact_brute_force
16.07__plat_plus__cumulative,16.07,plat_plus,cumulative,exclude_sion_and_pantheon,"Sion, Pantheon","Pantheon, Sion, Xerath",0.542309355221224,"Lissandra, Naafiri, Xerath",0.5329401220717636,0.009369233149460476,0.017276547157550858,1.0,0.3,exact_brute_force
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,exclude_sion,Sion,"Ekko, Pantheon, Sion",0.5377919486984056,"Aurelion Sol, Ekko, Pantheon",0.5344832759172573,0.003308672781148325,0.006152328589440882,0.96,0.2,exact_brute_force
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,exclude_pantheon,Pantheon,"Ekko, Pantheon, Sion",0.5377919486984056,"Fizz, Malzahar, Sion",0.5376247950759121,0.00016715362249353216,0.00031081466150262527,0.96,0.2,exact_brute_force
16.07__emerald_plus__cumulative,16.07,emerald_plus,cumulative,exclude_sion_and_pantheon,"Sion, Pantheon","Ekko, Pantheon, Sion",0.5377919486984056,"Aurelion Sol, Vex, Xerath",0.5342848879307376,0.0035070607676680465,0.006521222149487423,0.96,0.2,exact_brute_force
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,exclude_sion,Sion,"Naafiri, Sion, Xerath",0.5400182051430209,"Naafiri, Vex, Xerath",0.5362638835170511,0.003754321625969781,0.006952213073956403,0.92,0.05,exact_brute_force
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,exclude_pantheon,Pantheon,"Naafiri, Sion, Xerath",0.5400182051430209,"Naafiri, Sion, Xerath",0.5400182051430209,0.0,0.0,0.92,0.05,exact_brute_force
16.10__plat_plus__cumulative,16.10,plat_plus,cumulative,exclude_sion_and_pantheon,"Sion, Pantheon","Naafiri, Sion, Xerath",0.5400182051430209,"Naafiri, Vex, Xerath",0.5362638835170511,0.003754321625969781,0.006952213073956403,0.92,0.05,exact_brute_force
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,exclude_sion,Sion,"Katarina, Pantheon, Sion",0.5347113129598452,"Fizz, Pantheon, Vex",0.5330682652779891,0.0016430476818560802,0.0030727752378402863,0.51,0.22,exact_brute_force
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,exclude_pantheon,Pantheon,"Katarina, Pantheon, Sion",0.5347113129598452,"Sion, Vex, Xerath",0.5341746094382982,0.0005367035215469995,0.0010037257647984416,0.51,0.22,exact_brute_force
16.10__emerald_plus__cumulative,16.10,emerald_plus,cumulative,exclude_sion_and_pantheon,"Sion, Pantheon","Katarina, Pantheon, Sion",0.5347113129598452,"Fizz, Swain, Vex",0.5330378956366486,0.001673417323196591,0.0031295715700001623,0.51,0.22,exact_brute_force
16.10__diamond_plus__cumulative,16.10,diamond_plus,cumulative,exclude_sion,Sion,"Fizz, Pantheon, Veigar",0.5353004895046083,"Fizz, Pantheon, Veigar",0.5353004895046083,0.0,0.0,0.02,0.53,exact_brute_force
16.10__diamond_plus__cumulative,16.10,diamond_plus,cumulative,exclude_pantheon,Pantheon,"Fizz, Pantheon, Veigar",0.5353004895046083,"Fizz, Katarina, Taliyah",0.5341600788375622,0.0011404106670460656,0.0021304121505688407,0.02,0.53,exact_brute_force
16.10__diamond_plus__cumulative,16.10,diamond_plus,cumulative,exclude_sion_and_pantheon,"Sion, Pantheon","Fizz, Pantheon, Veigar",0.5353004895046083,"Fizz, Katarina, Taliyah",0.5341600788375622,0.0011404106670460656,0.0021304121505688407,0.02,0.53,exact_brute_force
16.10__master_plus__cumulative,16.10,master_plus,cumulative,exclude_sion,Sion,"Fizz, Pantheon, Twisted Fate",0.5366968298643056,"Fizz, Pantheon, Twisted Fate",0.5366968298643056,0.0,0.0,0.02,0.26,exact_brute_force
16.10__master_plus__cumulative,16.10,master_plus,cumulative,exclude_pantheon,Pantheon,"Fizz, Pantheon, Twisted Fate",0.5366968298643056,"Ahri, Fizz, Katarina",0.5351449400130455,0.001551889851260091,0.002891557700559661,0.02,0.26,exact_brute_force
16.10__master_plus__cumulative,16.10,master_plus,cumulative,exclude_sion_and_pantheon,"Sion, Pantheon","Fizz, Pantheon, Twisted Fate",0.5366968298643056,"Ahri, Fizz, Katarina",0.5351449400130455,0.001551889851260091,0.002891557700559661,0.02,0.26,exact_brute_force
16.11__plat_plus__cumulative,16.11,plat_plus,cumulative,exclude_sion,Sion,"Fizz, Sion, Vex",0.5379181491294469,"Naafiri, Vex, Xerath",0.535304647981005,0.0026135011484419435,0.004858548001534374,0.69,0.08,exact_brute_force
16.11__plat_plus__cumulative,16.11,plat_plus,cumulative,exclude_pantheon,Pantheon,"Fizz, Sion, Vex",0.5379181491294469,"Fizz, Sion, Vex",0.5379181491294469,0.0,0.0,0.69,0.08,exact_brute_force
16.11__plat_plus__cumulative,16.11,plat_plus,cumulative,exclude_sion_and_pantheon,"Sion, Pantheon","Fizz, Sion, Vex",0.5379181491294469,"Naafiri, Vex, Xerath",0.535304647981005,0.0026135011484419435,0.004858548001534374,0.69,0.08,exact_brute_force
16.11__emerald_plus__cumulative,16.11,emerald_plus,cumulative,exclude_sion,Sion,"Fizz, Sion, Vex",0.535091393892025,"Fizz, Naafiri, Vex",0.5333318728842285,0.0017595210077965273,0.003288262580712665,0.73,0.08,exact_brute_force
16.11__emerald_plus__cumulative,16.11,emerald_plus,cumulative,exclude_pantheon,Pantheon,"Fizz, Sion, Vex",0.535091393892025,"Fizz, Sion, Vex",0.535091393892025,0.0,0.0,0.73,0.08,exact_brute_force
16.11__emerald_plus__cumulative,16.11,emerald_plus,cumulative,exclude_sion_and_pantheon,"Sion, Pantheon","Fizz, Sion, Vex",0.535091393892025,"Fizz, Naafiri, Vex",0.5333318728842285,0.0017595210077965273,0.003288262580712665,0.73,0.08,exact_brute_force
16.11__diamond_plus__cumulative,16.11,diamond_plus,cumulative,exclude_sion,Sion,"Diana, Pantheon, Talon",0.5337448475897483,"Diana, Pantheon, Talon",0.5337448475897483,0.0,0.0,0.01,0.65,exact_brute_force
16.11__diamond_plus__cumulative,16.11,diamond_plus,cumulative,exclude_pantheon,Pantheon,"Diana, Pantheon, Talon",0.5337448475897483,"Diana, Katarina, Zoe",0.531475558602318,0.0022692889874302846,0.004251636334622804,0.01,0.65,exact_brute_force
16.11__diamond_plus__cumulative,16.11,diamond_plus,cumulative,exclude_sion_and_pantheon,"Sion, Pantheon","Diana, Pantheon, Talon",0.5337448475897483,"Diana, Katarina, Zoe",0.531475558602318,0.0022692889874302846,0.004251636334622804,0.01,0.65,exact_brute_force
16.11__master_plus__cumulative,16.11,master_plus,cumulative,exclude_sion,Sion,"Katarina, Talon, Vex",0.5360098000582706,"Katarina, Talon, Vex",0.5360098000582706,0.0,0.0,0.0,0.07,exact_brute_force
16.11__master_plus__cumulative,16.11,master_plus,cumulative,exclude_pantheon,Pantheon,"Katarina, Talon, Vex",0.5360098000582706,"Katarina, Talon, Vex",0.5360098000582706,0.0,0.0,0.0,0.07,exact_brute_force
16.11__master_plus__cumulative,16.11,master_plus,cumulative,exclude_sion_and_pantheon,"Sion, Pantheon","Katarina, Talon, Vex",0.5360098000582706,"Katarina, Talon, Vex",0.5360098000582706,0.0,0.0,0.0,0.07,exact_brute_force
