patch,pool_size,forced_champion,model_name,selected_pool,score
16.05,3,Ahri,optimized_model_forced,"Ahri, Vel'Koz, Vex",0.5356563510496489
16.05,3,Ahri,baseline_winrate_forced,"Ahri, Xerath, Veigar",0.5308184019112393
16.05,3,Ahri,baseline_blindscore_forced,"Ahri, Anivia, Xerath",0.5321707231120756
16.05,3,Ahri,baseline_pickrate_forced,"Ahri, Yasuo, Malzahar",0.5261444886254327
16.05,3,Yasuo,optimized_model_forced,"Yasuo, Vex, Xerath",0.5337876610371353
16.05,3,Yasuo,baseline_winrate_forced,"Yasuo, Xerath, Veigar",0.530044036336622
16.05,3,Yasuo,baseline_blindscore_forced,"Yasuo, Anivia, Xerath",0.5310485982640343
16.05,3,Yasuo,baseline_pickrate_forced,"Yasuo, Ahri, Malzahar",0.5261444886254327
16.05,3,Malzahar,optimized_model_forced,"Malzahar, Vex, Xerath",0.5355089723911196
16.05,3,Malzahar,baseline_winrate_forced,"Malzahar, Xerath, Veigar",0.5319558994697549
16.05,3,Malzahar,baseline_blindscore_forced,"Malzahar, Anivia, Xerath",0.5326975181317651
16.05,3,Malzahar,baseline_pickrate_forced,"Malzahar, Ahri, Yasuo",0.5261444886254327
16.05,3,Viktor,optimized_model_forced,"Viktor, Vel'Koz, Vex",0.5336592730328847
16.05,3,Viktor,baseline_winrate_forced,"Viktor, Xerath, Veigar",0.5285088336634685
16.05,3,Viktor,baseline_blindscore_forced,"Viktor, Anivia, Xerath",0.5296327780071571
16.05,3,Viktor,baseline_pickrate_forced,"Viktor, Ahri, Yasuo",0.5217595377032421
16.05,3,Zed,optimized_model_forced,"Zed, Vex, Xerath",0.5337381167849702
16.05,3,Zed,baseline_winrate_forced,"Zed, Xerath, Veigar",0.5284458928426066
16.05,3,Zed,baseline_blindscore_forced,"Zed, Anivia, Xerath",0.5311221088118582
16.05,3,Zed,baseline_pickrate_forced,"Zed, Ahri, Yasuo",0.5207778467464027
16.05,3,Akali,optimized_model_forced,"Akali, Vex, Xerath",0.5333653836253459
16.05,3,Akali,baseline_winrate_forced,"Akali, Xerath, Veigar",0.5299706119832823
16.05,3,Akali,baseline_blindscore_forced,"Akali, Anivia, Xerath",0.5307365691466281
16.05,3,Akali,baseline_pickrate_forced,"Akali, Ahri, Yasuo",0.5192606413886552
16.05,3,Katarina,optimized_model_forced,"Katarina, Vel'Koz, Vex",0.5353380539602894
16.05,3,Katarina,baseline_winrate_forced,"Katarina, Xerath, Veigar",0.5291317049029408
16.05,3,Katarina,baseline_blindscore_forced,"Katarina, Anivia, Xerath",0.5323362908112915
16.05,3,Katarina,baseline_pickrate_forced,"Katarina, Ahri, Yasuo",0.5226332509523317
16.05,3,Sylas,optimized_model_forced,"Sylas, Vex, Xerath",0.5333876579325694
16.05,3,Sylas,baseline_winrate_forced,"Sylas, Xerath, Veigar",0.5281640929326146
16.05,3,Sylas,baseline_blindscore_forced,"Sylas, Anivia, Xerath",0.5300879404969604
16.05,3,Sylas,baseline_pickrate_forced,"Sylas, Ahri, Yasuo",0.5188310587376542
16.05,3,Mel,optimized_model_forced,"Mel, Vex, Xerath",0.5334473635023806
16.05,3,Mel,baseline_winrate_forced,"Mel, Xerath, Veigar",0.5279653740916395
16.05,3,Mel,baseline_blindscore_forced,"Mel, Anivia, Xerath",0.531391114072264
16.05,3,Mel,baseline_pickrate_forced,"Mel, Ahri, Yasuo",0.5208743875754783
16.05,3,Yone,optimized_model_forced,"Yone, Vex, Xerath",0.5341491976652687
16.05,3,Yone,baseline_winrate_forced,"Yone, Xerath, Veigar",0.5287912192119341
16.05,3,Yone,baseline_blindscore_forced,"Yone, Anivia, Xerath",0.5308746685753636
16.05,3,Yone,baseline_pickrate_forced,"Yone, Ahri, Yasuo",0.5203885705282822
