patch,pool_size,enemy_champion,enemy_frequency,best_pool_champion_against_enemy,best_matchup_value
16.05,3,Ahri,0.07683385120915515,Vex,0.5033
16.05,3,Yasuo,0.04833662490658803,Vex,0.5433
16.05,3,Malzahar,0.03877211728218962,Xerath,0.5261
16.05,3,Viktor,0.03845946060244712,Xerath,0.5329
16.05,3,Zed,0.03732152718243042,Xerath,0.5261
16.05,3,Akali,0.03572719812435332,Vex,0.5399
16.05,3,Katarina,0.03571033079761192,Vex,0.5467
16.05,3,Sylas,0.03546318779274902,Vex,0.5707
16.05,3,Mel,0.03339021778163362,Xerath,0.565
16.05,3,Yone,0.03162770436416412,Vex,0.5802
16.05,3,Xerath,0.029056781533161817,Vel'Koz,0.4806
16.05,3,Veigar,0.026878451843415512,Xerath,0.5287
16.05,3,Twisted Fate,0.025963460481197916,Vel'Koz,0.5249
16.05,3,Fizz,0.025638825554928912,Vex,0.5028
16.05,3,Syndra,0.025377015309421314,Xerath,0.5557
